pitch_type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,stand_L,stand_R,p_throws_L,p_throws_R,inning_topbot_Bot,inning_topbot_Top,if_fielding_alignment_Infield shift,if_fielding_alignment_Standard,if_fielding_alignment_Strategic,of_fielding_alignment_4th outfielder,of_fielding_alignment_Standard,of_fielding_alignment_Strategic
FF,0,0,0,0,0,1,5,35,1,0,6,6,0,0,1,0,1,0,1,1,0,0,0,1,0
CH,0,0,0,0,1,1,5,34,1,0,4,4,0,1,0,0,1,0,1,1,0,0,0,0,1
CU,0,0,0,0,0,1,5,33,1,0,4,4,0,0,1,0,1,0,1,1,0,0,0,1,0
FF,0,0,0,0,0,0,5,32,1,0,4,4,0,1,0,0,1,0,1,0,1,0,0,1,0
CH,0,0,0,0,0,0,5,31,1,0,3,3,0,1,0,0,1,0,1,1,0,0,0,1,0
CU,0,0,0,0,0,2,4,30,1,0,3,0,3,0,1,0,1,1,0,0,1,0,0,1,0
CU,0,0,0,0,0,1,4,29,1,0,3,0,3,0,1,0,1,1,0,0,1,0,0,1,0
CU,0,0,0,0,0,0,4,28,1,0,3,0,3,0,1,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,2,4,27,1,0,3,3,0,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,0,1,4,26,1,0,3,3,0,0,1,0,1,0,1,0,1,0,0,1,0
SL,0,0,0,0,0,0,4,25,1,0,3,3,0,0,1,0,1,0,1,0,1,0,0,1,0
FT,0,0,0,0,0,2,3,24,1,0,3,0,3,0,1,0,1,1,0,0,1,0,0,0,1
FT,0,0,0,0,0,1,3,23,1,0,3,0,3,0,1,0,1,1,0,0,1,0,0,1,0
FT,0,0,0,0,0,0,3,22,1,0,3,0,3,0,1,0,1,1,0,0,1,0,0,1,0
CU,0,0,0,0,1,2,3,21,1,0,3,3,0,1,0,0,1,0,1,1,0,0,0,1,0
SL,0,0,0,0,0,2,3,20,1,0,3,3,0,0,1,0,1,0,1,1,0,0,0,1,0
CU,0,0,0,0,0,1,3,19,1,0,3,3,0,1,0,0,1,0,1,1,0,0,0,0,1
CU,0,0,0,1,1,1,3,18,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
FF,0,0,0,1,1,0,3,17,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,1,0,3,16,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
FF,0,0,0,0,0,0,3,15,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
FT,0,0,0,0,0,2,2,14,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
FT,0,0,0,0,0,1,2,13,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
FT,0,0,0,0,0,0,2,12,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
FF,0,0,0,0,0,2,2,11,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,0,1,2,10,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
CU,0,0,0,0,0,0,2,9,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
FF,0,0,0,0,0,2,1,8,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,1,1,7,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,0,1,6,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
SL,0,0,1,1,0,2,1,5,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
SI,0,0,0,0,1,2,1,4,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
FF,0,0,0,0,1,1,1,3,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
FF,0,0,0,0,1,0,1,2,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
SI,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
SL,0,0,0,0,0,2,9,77,1,2,4,2,4,1,0,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,2,9,76,1,1,4,1,4,1,0,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,1,9,75,1,1,4,1,4,1,0,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,0,9,74,1,1,4,1,4,0,1,0,1,1,0,0,1,0,0,1,0
SI,0,0,1,0,1,2,9,73,1,1,4,4,1,0,1,0,1,0,1,0,1,0,0,1,0
FC,0,0,1,1,1,2,9,72,1,1,2,2,1,1,0,0,1,0,1,1,0,0,0,1,0
FC,0,0,1,1,1,1,9,71,1,1,2,2,1,1,0,0,1,0,1,1,0,0,0,0,1
CH,0,0,0,1,1,1,9,70,1,1,2,2,1,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,1,1,0,9,69,1,1,2,2,1,0,1,0,1,0,1,0,0,1,0,1,0
FF,0,0,0,1,1,0,9,68,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
FC,0,0,0,0,1,0,9,67,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
FC,0,0,0,0,0,0,9,66,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
FC,0,0,1,1,1,2,8,65,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0
FC,0,0,0,1,1,2,8,64,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0
FF,0,0,0,1,1,1,8,63,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0
FC,0,0,0,1,0,1,8,62,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0
FC,0,0,0,0,1,0,8,61,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,0,8,60,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0
SI,0,0,0,0,1,2,8,59,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0
SI,0,0,0,0,0,2,8,58,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0
SI,0,0,0,0,0,1,8,57,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0
SL,0,0,0,0,0,0,8,56,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0
SL,0,0,0,1,1,2,7,55,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0
CH,0,0,0,1,1,1,7,54,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0
SL,0,0,0,0,1,1,7,53,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0
SL,0,0,0,0,1,0,7,52,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,0,7,51,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0
SL,0,0,0,0,0,2,7,50,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
CH,0,0,0,0,0,1,7,49,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,0,0,7,48,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0
SL,0,0,0,0,0,2,6,47,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0
CH,0,0,0,0,0,1,6,46,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0
FF,0,0,0,0,0,0,6,45,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,1,1,1,6,44,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,1,0,1,1,6,43,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,1,1,6,42,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
FF,0,0,0,0,1,0,6,41,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
CU,0,0,0,0,0,0,6,40,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
FT,0,0,0,0,0,2,5,39,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
CH,0,0,0,0,0,1,5,38,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,0,5,37,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
SL,0,0,0,1,0,2,5,36,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,1,0,1,5,35,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,1,0,0,5,34,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,0,0,5,33,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1
FF,0,0,0,0,0,2,4,32,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
SL,0,0,0,0,0,1,4,31,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,0,4,30,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,2,4,29,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
CH,0,0,0,0,0,1,4,28,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
CH,0,0,0,0,0,0,4,27,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
SL,0,0,1,1,1,2,3,26,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
FF,0,0,1,0,1,2,3,25,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0
SL,0,0,1,1,1,1,3,24,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,1,1,1,3,23,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,1,1,3,22,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
SL,0,0,0,0,0,1,3,21,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
